Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome
1,5,"[0, 1, 2, 4, 7]",0.845,0.851,0.9937041132022398,0.5133839102461845,Accept
2,5,"[0, 1, 2, 4, 7]",0.7,0.851,0.8356323265066996,0.8378729558308884,Reject
3,4,"[0, 1, 4, 7]",0.839,0.851,0.9912965193704807,0.3391063471914425,Accept
4,4,"[0, 1, 2, 7]",0.851,0.851,-,-,Improved
5,5,"[0, 1, 2, 6, 7]",0.844,0.851,0.9859835775622477,0.9527068520840201,Accept
6,4,"[1, 2, 6, 7]",0.791,0.851,0.8818481355766263,0.17351297656520415,Accept
7,4,"[1, 2, 4, 6]",0.784,0.851,0.980652477850944,0.35496299717929913,Accept
8,4,"[1, 2, 4, 6]",0.672,0.851,0.692284806587142,0.8830553482180965,Reject
9,3,"[1, 4, 6]",0.801,0.851,-,-,Improved
10,4,"[1, 3, 4, 6]",0.791,0.851,0.9555701621587517,0.37918119926954896,Accept
11,5,"[1, 3, 4, 5, 6]",0.816,0.851,-,-,Improved
12,6,"[1, 2, 3, 4, 5, 6]",0.846,0.851,-,-,Improved
13,6,"[1, 2, 3, 4, 5, 6]",0.708,0.851,0.36014760902966175,0.7985676305422287,Reject
14,6,"[0, 1, 2, 3, 4, 5]",0.858,0.858,-,-,Improved
15,6,"[0, 1, 2, 3, 5, 7]",0.857,0.858,0.989809648265514,0.5408215864262975,Accept
16,7,"[0, 1, 2, 3, 5, 7, 8]",0.862,0.862,-,-,Improved
17,7,"[1, 2, 3, 5, 6, 7, 8]",0.852,0.862,0.8678238793740046,0.10154434217199892,Accept
18,6,"[1, 3, 5, 6, 7, 8]",0.836,0.862,0.7657844334961773,0.6227164182219067,Accept
19,6,"[1, 2, 3, 5, 6, 8]",0.849,0.862,-,-,Improved
20,5,"[1, 3, 5, 6, 8]",0.832,0.862,0.675411471012959,0.6501857232518333,Accept
21,6,"[1, 3, 4, 5, 6, 8]",0.837,0.862,-,-,Improved
22,7,"[0, 1, 3, 4, 5, 6, 8]",0.844,0.862,-,-,Improved
23,8,"[0, 1, 3, 4, 5, 6, 7, 8]",0.841,0.862,0.8933589608406419,0.6073361023443926,Accept
24,8,"[0, 1, 2, 3, 4, 5, 7, 8]",0.862,0.862,-,-,Improved
25,8,"[0, 1, 2, 3, 4, 5, 7, 8]",0.843,0.862,0.3721352324809378,0.4655043049516414,Reject
26,7,"[0, 1, 2, 4, 5, 7, 8]",0.866,0.866,-,-,Improved
27,7,"[0, 1, 2, 4, 5, 7, 8]",0.858,0.866,0.5621038018883016,0.936043127830525,Reject
28,7,"[0, 1, 2, 4, 5, 7, 8]",0.858,0.866,0.5077693674290532,0.7842134538767102,Reject
29,7,"[0, 2, 3, 4, 5, 7, 8]",0.855,0.866,0.33409676856220366,0.006297512952741613,Accept
